STATISTIC,STATISTIC Label,TLIST(A1),Year,C03898V04649,Local Electoral Area,UNIT,VALUE,Local Electoral Area,
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f23-13a3-e055-000000000001,"Edenderry, Offaly",Number,9,Edenderry, Offaly
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f24-13a3-e055-000000000001,"Boyle, Roscommon",Number,0,Boyle, Roscommon
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f25-13a3-e055-000000000001,"Roscommon, Roscommon",Number,0,Roscommon, Roscommon
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f26-13a3-e055-000000000001,"Athlone, Roscommon",Number,0,Athlone, Roscommon
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f27-13a3-e055-000000000001,"Ballymote-Tobercurry, Sligo",Number,,Ballymote-Tobercurry, Sligo
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f28-13a3-e055-000000000001,"Sligo-Drumcliff, Sligo",Number,,Sligo-Drumcliff, Sligo
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-007589300001,"Sligo-Strandhill, Sligo",Number,,Sligo-Strandhill, Sligo
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f29-13a3-e055-000000000001,"Cavan-Belturbet, Cavan",Number,0,Cavan-Belturbet, Cavan
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f2a-13a3-e055-000000000001,"Bailieborough-Cootehill, Cavan",Number,0,Bailieborough-Cootehill, Cavan
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f2b-13a3-e055-000000000001,"Ballyjamesduff, Cavan",Number,0,Ballyjamesduff, Cavan
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f2c-13a3-e055-000000000001,"Nenagh, Tipperary",Number,23,Nenagh, Tipperary
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f2d-13a3-e055-000000000001,"Roscrea-Templemore, Tipperary",Number,11,Roscrea-Templemore, Tipperary
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f2e-13a3-e055-000000000001,"Carrick-On-Suir, Tipperary",Number,15,Carrick-On-Suir, Tipperary
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f2f-13a3-e055-000000000001,"Clonmel, Tipperary",Number,23,Clonmel, Tipperary
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f30-13a3-e055-000000000001,"Cashel-Tipperary, Tipperary",Number,46,Cashel-Tipperary, Tipperary
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-662310000001,"Newport, Tipperary",Number,10,Newport, Tipperary
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000005500001,"Thurles, Tipperary",Number,34,Thurles, Tipperary
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000005400001,"Cahir, Tipperary",Number,14,Cahir, Tipperary
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f31-13a3-e055-000000000001,"Dungarvan, Waterford",Number,89,Dungarvan, Waterford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f32-13a3-e055-000000000001,"Portlaw-Kilmacthomas, Waterford",Number,34,Portlaw-Kilmacthomas, Waterford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000005300001,"Lismore, Waterford",Number,29,Lismore, Waterford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f33-13a3-e055-000000000001,"Tramore-Waterford City West, Waterford",Number,219,Tramore-Waterford City West, Waterford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f34-13a3-e055-000000000001,"Waterford City South, Waterford",Number,137,Waterford City South, Waterford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f35-13a3-e055-000000000001,"Waterford City East, Waterford",Number,81,Waterford City East, Waterford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f36-13a3-e055-000000000001,"Athlone, Westmeath",Number,0,Athlone, Westmeath
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f37-13a3-e055-000000000001,"Moate, Westmeath",Number,0,Moate, Westmeath
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f38-13a3-e055-000000000001,"Kinnegad, Westmeath",Number,0,Kinnegad, Westmeath
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-900000000111,"Mullingar, Westmeath",Number,0,Mullingar, Westmeath
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f39-13a3-e055-000000000001,"Gorey, Wexford",Number,0,Gorey, Wexford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f3a-13a3-e055-000000000001,"Kilmuckridge, Wexford",Number,0,Kilmuckridge, Wexford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f3b-13a3-e055-000000000001,"New Ross, Wexford",Number,,New Ross, Wexford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f3c-13a3-e055-000000000001,"Rosslare, Wexford",Number,0,Rosslare, Wexford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000024000001,"Wexford, Wexford",Number,0,Wexford, Wexford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-999550000001,"Enniscorthy, Wexford",Number,0,Enniscorthy, Wexford
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f3d-13a3-e055-000000000001,"Baltinglass, Wicklow",Number,0,Baltinglass, Wicklow
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f3e-13a3-e055-000000000001,"Bray West, Wicklow",Number,0,Bray West, Wicklow
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000000000001,"Greystones, Wicklow",Number,0,Greystones, Wicklow
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef5-13a3-e055-000000000001,"Wicklow, Wicklow",Number,0,Wicklow, Wicklow
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef6-13a3-e055-000000000001,"Arklow, Wicklow",Number,0,Arklow, Wicklow
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-999220000001,"Bray East, Wicklow",Number,0,Bray East, Wicklow
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef7-13a3-e055-000000000001,"Rush-Lusk, Fingal",Number,,Rush-Lusk, Fingal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef8-13a3-e055-000000000001,"Swords, Fingal",Number,,Swords, Fingal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef9-13a3-e055-000000000001,"Blanchardstown-Mulhuddart, Fingal",Number,,Blanchardstown-Mulhuddart, Fingal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3efa-13a3-e055-000000000001,"Castleknock, Fingal",Number,0,Castleknock, Fingal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3efb-13a3-e055-000000000001,"Howth-Malahide, Fingal",Number,,Howth-Malahide, Fingal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3efc-13a3-e055-000000000001,"Stillorgan, Dún Laoghaire-Rathdown",Number,0,Stillorgan, Dún Laoghaire-Rathdown
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3efd-13a3-e055-000000000001,"Dundrum, Dún Laoghaire-Rathdown",Number,0,Dundrum, Dún Laoghaire-Rathdown
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f3f-13a3-e055-000000000001,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,0,Glencullen-Sandyford, Dún Laoghaire-Rathdown
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f40-13a3-e055-000000000001,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,,Killiney-Shankill, Dún Laoghaire-Rathdown
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f4e-13a3-e055-000000000001,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,,Dún Laoghaire, Dún Laoghaire-Rathdown
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f4f-13a3-e055-000000000001,"Blackrock, Dún Laoghaire-Rathdown",Number,0,Blackrock, Dún Laoghaire-Rathdown
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f50-13a3-e055-000000000001,"Lucan, South Dublin",Number,69,Lucan, South Dublin
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f51-13a3-e055-000000000001,"Tallaght Central, South Dublin",Number,114,Tallaght Central, South Dublin
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f52-13a3-e055-000000000001,"Rathfarnham-Templeogue, South Dublin",Number,12,Rathfarnham-Templeogue, South Dublin
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f53-13a3-e055-000000000001,"Firhouse-Bohernabreena, South Dublin",Number,36,Firhouse-Bohernabreena, South Dublin
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f54-13a3-e055-000000000001,"Tallaght South, South Dublin",Number,142,Tallaght South, South Dublin
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f55-13a3-e055-000000000001,"Clondalkin, South Dublin",Number,141,Clondalkin, South Dublin
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-997440000001,"Balbriggan, Fingal",Number,,Balbriggan, Fingal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000002200001,"Ongar, Fingal",Number,,Ongar, Fingal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-999770000001,"Palmerstown-Fonthill, South Dublin",Number,32,Palmerstown-Fonthill, South Dublin
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f56-13a3-e055-000000000001,"Ballymun-Finglas, Dublin City",Number,,Ballymun-Finglas, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f57-13a3-e055-000000000001,"Cabra-Glasnevin, Dublin City",Number,,Cabra-Glasnevin, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f58-13a3-e055-000000000001,"Ballyfermot-Drimnagh, Dublin City",Number,8,Ballyfermot-Drimnagh, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f59-13a3-e055-000000000001,"Kimmage-Rathmines, Dublin City",Number,,Kimmage-Rathmines, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f5a-13a3-e055-000000000001,"Pembroke, Dublin City",Number,0,Pembroke, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f5b-13a3-e055-000000000001,"South East Inner City, Dublin City",Number,,South East Inner City, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f5c-13a3-e055-000000000001,"North Inner City, Dublin City",Number,10,North Inner City, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f5d-13a3-e055-000000000001,"Clontarf, Dublin City",Number,,Clontarf, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f5e-13a3-e055-000000000001,"Donaghmede, Dublin City",Number,,Donaghmede, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000005200001,"Artane-Whitehall, Dublin City",Number,,Artane-Whitehall, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-999660000001,"South West Inner City, Dublin City",Number,,South West Inner City, Dublin City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f5f-13a3-e055-000000000001,"Ennistimon, Clare",Number,30,Ennistimon, Clare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f60-13a3-e055-000000000001,"Killaloe, Clare",Number,23,Killaloe, Clare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f61-13a3-e055-000000000001,"Shannon, Clare",Number,22,Shannon, Clare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f62-13a3-e055-000000000001,"Ennis, Clare",Number,116,Ennis, Clare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000000044001,"Kilrush, Clare",Number,20,Kilrush, Clare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f63-13a3-e055-000000000001,"Kanturk, Cork County",Number,65,Kanturk, Cork County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f64-13a3-e055-000000000001,"Fermoy, Cork County",Number,64,Fermoy, Cork County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f65-13a3-e055-000000000001,"Midleton, Cork County",Number,106,Midleton, Cork County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f66-13a3-e055-000000000001,"Carrigaline, Cork County",Number,41,Carrigaline, Cork County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f67-13a3-e055-000000000001,"Cobh, Cork County",Number,77,Cobh, Cork County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f68-13a3-e055-000000000001,"Bandon-Kinsale, Cork County",Number,139,Bandon-Kinsale, Cork County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f41-13a3-e055-000000000001,"Bantry-West Cork, Cork County",Number,75,Bantry-West Cork, Cork County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f42-13a3-e055-000000000001,"Skibbereen-West Cork, Cork County",Number,99,Skibbereen-West Cork, Cork County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-222220000001,"Macroom, Cork County",Number,73,Macroom, Cork County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-444440000001,"Mallow, Cork County",Number,80,Mallow, Cork County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-774560000001,"Cork City North West, Cork City",Number,38,Cork City North West, Cork City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-999440000001,"Cork City North East, Cork City",Number,33,Cork City North East, Cork City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-999990000001,"Cork City South East, Cork City",Number,14,Cork City South East, Cork City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000001100001,"Cork City South Central, Cork City",Number,27,Cork City South Central, Cork City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000012000001,"Cork City South West, Cork City",Number,10,Cork City South West, Cork City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f43-13a3-e055-000000000001,"Glenties, Donegal",Number,20,Glenties, Donegal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f44-13a3-e055-000000000001,"Milford, Donegal",Number,16,Milford, Donegal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f45-13a3-e055-000000000001,"Carndonagh, Donegal",Number,23,Carndonagh, Donegal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f46-13a3-e055-000000000001,"Buncrana, Donegal",Number,29,Buncrana, Donegal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f47-13a3-e055-000000000001,"Donegal, Donegal",Number,41,Donegal, Donegal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-700012002301,"Letterkenny, Donegal",Number,206,Letterkenny, Donegal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-075000000001,"Lifford-Stranorlar, Donegal",Number,59,Lifford-Stranorlar, Donegal
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f48-13a3-e055-000000000001,"Conamara North, Galway County",Number,0,Conamara North, Galway County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f49-13a3-e055-000000000001,"Tuam, Galway County",Number,,Tuam, Galway County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f4a-13a3-e055-000000000001,"Ballinasloe, Galway County",Number,,Ballinasloe, Galway County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f4b-13a3-e055-000000000001,"Loughrea, Galway County",Number,0,Loughrea, Galway County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f4c-13a3-e055-000000000001,"Athenry-Oranmore, Galway County",Number,0,Athenry-Oranmore, Galway County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-999330000001,"Gort-Kinvara, Galway County",Number,0,Gort-Kinvara, Galway County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-994560000001,"Conamara South, Galway County",Number,0,Conamara South, Galway County
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f4d-13a3-e055-000000000001,"Galway City West, Galway City",Number,0,Galway City West, Galway City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f69-13a3-e055-000000000001,"Galway City Central, Galway City",Number,0,Galway City Central, Galway City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f6a-13a3-e055-000000000001,"Galway City East, Galway City",Number,0,Galway City East, Galway City
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f6b-13a3-e055-000000000001,"Listowel, Kerry",Number,0,Listowel, Kerry
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f6c-13a3-e055-000000000001,"Castleisland, Kerry",Number,0,Castleisland, Kerry
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f6d-13a3-e055-000000000001,"Killarney, Kerry",Number,0,Killarney, Kerry
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f6e-13a3-e055-000000000001,"Kenmare, Kerry",Number,0,Kenmare, Kerry
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-883360000001,"Corca Dhuibhne, Kerry",Number,0,Corca Dhuibhne, Kerry
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-000005600001,"Tralee, Kerry",Number,0,Tralee, Kerry
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f6f-13a3-e055-000000000001,"Maynooth, Kildare",Number,,Maynooth, Kildare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f70-13a3-e055-000000000001,"Celbridge, Kildare",Number,,Celbridge, Kildare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f71-13a3-e055-000000000001,"Naas, Kildare",Number,,Naas, Kildare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f72-13a3-e055-000000000001,"Athy, Kildare",Number,,Athy, Kildare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f73-13a3-e055-000000000001,"Kildare, Kildare",Number,,Kildare, Kildare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-999880000001,"Clane, Kildare",Number,,Clane, Kildare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-994510000001,"Leixlip, Kildare",Number,,Leixlip, Kildare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3ef4-13a3-e055-777770000001,"Newbridge, Kildare",Number,,Newbridge, Kildare
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f74-13a3-e055-000000000001,"Castlecomer, Kilkenny",Number,93,Castlecomer, Kilkenny
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f75-13a3-e055-000000000001,"Kilkenny, Kilkenny",Number,217,Kilkenny, Kilkenny
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f76-13a3-e055-000000000001,"Piltown, Kilkenny",Number,74,Piltown, Kilkenny
HAP10C01,Number of HAP Properties,2015,2015,2ae19629-3f77-13a3-e055-000000000001,"Callan-Thomastown, Kilkenny",Number,97,Callan-Thomastown, Kilkenny
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3eff-13a3-e055-000000000001,"Borris-In-Ossory-Mountmellick, Laois",Number,0,Borris-In-Ossory-Mountmellick, Laois
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f00-13a3-e055-000000000001,"Portlaoise, Laois",Number,0,Portlaoise, Laois
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f01-13a3-e055-000000000001,"Graiguecullen -Portarlington, Laois",Number,14,Graiguecullen -Portarlington, Laois
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f02-13a3-e055-000000000001,"Carlow, Carlow",Number,290,Carlow, Carlow
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f03-13a3-e055-000000000001,"Tullow, Carlow",Number,73,Tullow, Carlow
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3ef4-13a3-e055-553330000001,"Muinebeag, Carlow",Number,53,Muinebeag, Carlow
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f04-13a3-e055-000000000001,"Manorhamilton, Leitrim",Number,,Manorhamilton, Leitrim
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f05-13a3-e055-000000000001,"Ballinamore, Leitrim",Number,0,Ballinamore, Leitrim
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f06-13a3-e055-000000000001,"Carrick-On-Shannon, Leitrim",Number,,Carrick-On-Shannon, Leitrim
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f07-13a3-e055-000000000001,"Newcastle West, Limerick",Number,174,Newcastle West, Limerick
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f08-13a3-e055-000000000001,"Adare-Rathkeale, Limerick",Number,94,Adare-Rathkeale, Limerick
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f09-13a3-e055-000000000001,"Cappamore-Kilmallock, Limerick",Number,185,Cappamore-Kilmallock, Limerick
HAP10C01,Number of HAP Properties,2016,2016,2ae19629-3f0a-13a3-e055-000000000001,"Limerick City West, Limerick",Number,478,Limerick City West, Limerick
